Names	switch_no_tresh	switch_with_tresh	mean_no_tresh	mean_with_tresh	vari_no_tresh	vari_with_tresh	devi_no_tresh	devi_with_tresh
709551_rfMRI_REST1	0.2538947368421053	0.05094736842105263	-0.03198653198653199	0.8737373737373737	0.9989768617714746	0.23658300173451688	0.9994882999672755	0.4863979869762177
517239_rfMRI_REST2	0.24547368421052632	0.11663157894736842	0.010101010101010102	0.6414141414141414	0.9998979695949394	0.5885878991939599	0.9999489834961278	0.767194824796127
125222_rfMRI_REST1	0.24378947368421053	0.08336842105263158	0.021043771043771045	0.7861952861952862	0.9995571597002574	0.381896971964312	0.999778555331258	0.6179781322703191
818455_rfMRI_REST2	0.25557894736842107	0.026526315789473683	0.008417508417508417	0.9351851851851852	0.9999291455520414	0.12542866941015088	0.9999645721484544	0.35415910183157917
238033_rfMRI_REST2	0.24926315789473685	0.07663157894736843	0.0016835016835016834	0.7988215488215489	0.9999971658220816	0.36188413313834183	0.9999985829100367	0.6015680619334289
156435_rfMRI_REST2	0.24421052631578946	0.18694736842105264	-0.011784511784511785	0.3897306397306397	0.9998611252820006	0.8481100284551464	0.9999305602300594	0.9209288943534927
195445_rfMRI_REST2	0.2534736842105263	0.15663157894736843	0.03535353535353535	0.5311447811447811	0.9987501275380063	0.7178852214626626	0.9993748683742284	0.8472810758317825
299760_rfMRI_REST1	0.256	0.09810526315789474	0.02861952861952862	0.7028619528619529	0.999180922581596	0.505985075219082	0.9995903773954589	0.7113262790162346
210011_rfMRI_REST2	0.2551578947368421	0.06315789473684211	-0.015151515151515152	0.8148148148148148	0.9997704315886136	0.33607681755829905	0.9998852092058436	0.5797213274999454
211316_rfMRI_REST1	0.2597894736842105	0.07073684210526315	-0.022727272727272728	0.7954545454545454	0.9994834710743801	0.3672520661157025	0.9997417021783077	0.6060132557260629
329440_rfMRI_REST1	0.25305263157894736	0.056	0.017676767676767676	0.8484848484848485	0.9996875318845017	0.2800734618916437	0.9998437537358033	0.5292196726234236
186444_rfMRI_REST2	0.25094736842105264	0.136	-0.003367003367003367	0.5909090909090909	0.9999886632883267	0.6508264462809917	0.9999943316280981	0.8067381522408568
178748_rfMRI_REST2	0.24378947368421053	0.168	-0.007575757575757576	0.4553872053872054	0.9999426078971532	0.7926224931696313	0.9999713035368331	0.890293487098289
239944_rfMRI_REST1	0.24757894736842107	0.007157894736842105	0.015151515151515152	0.9814814814814815	0.9997704315886136	0.03669410150891631	0.9998852092058436	0.19155704505164073
169747_rfMRI_REST1	0.2488421052631579	0.10063157894736842	0.018518518518518517	0.7272727272727273	0.9996570644718793	0.47107438016528924	0.9998285175328214	0.6863485850246136
562446_rfMRI_REST2	0.25305263157894736	0.028210526315789474	-0.005050505050505051	0.92003367003367	0.9999744923987345	0.15353804600437598	0.9999872461180365	0.3918393114586335
138837_rfMRI_REST1	0.2551578947368421	0.2071578947368421	0.03787878787878788	0.29545454545454547	0.9985651974288338	0.9127066115702479	0.9992823411973384	0.9553567980447137
112920_rfMRI_REST1	0.2488421052631579	0.18821052631578947	0.05218855218855219	0.3787878787878788	0.9972763550204627	0.8565197428833794	0.9986372489650397	0.9254835184288154
183337_rfMRI_REST1	0.2538947368421053	0.10442105263157894	-0.007575757575757576	0.6893939393939394	0.9999426078971534	0.5247359963269055	0.9999713035368332	0.7243866345584418
664757_rfMRI_REST2	0.2501052631578947	0.14863157894736842	-0.015151515151515152	0.5361952861952862	0.9997704315886135	0.7124946150619552	0.9998852092058436	0.8440939610386721
194443_rfMRI_REST1	0.2517894736842105	0.11073684210526316	-0.005892255892255892	0.6531986531986532	0.9999652813205002	0.5733315194594655	0.9999826405095742	0.7571865816689209
134021_rfMRI_REST2	0.24673684210526317	0.061052631578947365	-0.026094276094276093	0.8367003367003367	0.999319088755116	0.29993254656554325	0.9996594864028031	0.547660977764112
147636_rfMRI_REST1	0.25473684210526315	0.08757894736842105	0.03872053872053872	0.718013468013468	0.9985007198811913	0.4844566597512726	0.9992500787496548	0.696029208978526
106521_rfMRI_REST1	0.24505263157894736	0.029473684210526315	0.03198653198653199	0.92003367003367	0.9989768617714747	0.15353804600437596	0.9994882999672756	0.39183931145863343
136631_rfMRI_REST1	0.2471578947368421	0.10526315789473684	0.0016835016835016834	0.6893939393939394	0.9999971658220816	0.5247359963269055	0.9999985829100367	0.7243866345584418
585256_rfMRI_REST2	0.2471578947368421	0.11073684210526316	0.005892255892255892	0.67003367003367	0.9999652813205002	0.5510548810212108	0.9999826405095742	0.742330708661046
887373_rfMRI_REST1	0.24842105263157896	0.04926315789473684	-0.011784511784511785	0.8737373737373737	0.9998611252820006	0.23658300173451688	0.9999305602300594	0.4863979869762177
256540_rfMRI_REST1	0.25263157894736843	0.09094736842105264	-0.0008417508417508417	0.7432659932659933	0.9999992914555206	0.44755566325431656	0.9999996457276975	0.6689960113889444
567961_rfMRI_REST2	0.2505263157894737	0.03536842105263158	0.0008417508417508417	0.9107744107744108	0.9999992914555206	0.1704899726785249	0.9999996457276975	0.4129043141921926
126426_rfMRI_REST1	0.2501052631578947	0.021052631578947368	0.009259259259259259	0.9537037037037037	0.99991426611797	0.09044924554183814	0.9999571321401582	0.3007478105354021
200614_rfMRI_REST2	0.24210526315789474	0.1296842105263158	-0.0025252525252525255	0.5883838383838383	0.9999936230996838	0.653804458728701	0.9999968115447587	0.8085817576032129
168341_rfMRI_REST2	0.2522105263157895	0.13389473684210526	-0.0025252525252525255	0.5968013468013468	0.9999936230996835	0.6438281524560986	0.9999968115447586	0.8023890281254465
947668_rfMRI_REST1	0.2551578947368421	0.1431578947368421	0.03787878787878788	0.5488215488215489	0.9985651974288338	0.6987949075491163	0.9992823411973384	0.8359395358212915
123925_rfMRI_REST2	0.24673684210526317	0.13642105263157894	-0.02356902356902357	0.5841750841750841	0.9994445011280026	0.6587394710290334	0.9997222119809096	0.8116276677325838
548250_rfMRI_REST2	0.24757894736842107	0.021052631578947368	0.041245791245791245	0.9503367003367004	0.9982987847045085	0.09686015599315259	0.99914903027752	0.311223643049741
992774_rfMRI_REST2	0.24757894736842107	0.15410526315789475	0.03198653198653199	0.4663299663299663	0.9989768617714746	0.7825363625026924	0.9994882999672755	0.8846108537106542
922854_rfMRI_REST2	0.2496842105263158	0.08	-0.02356902356902357	0.7853535353535354	0.9994445011280026	0.3832198245077033	0.9997222119809096	0.6190475139338687
